"date","location","deaths","injuries","description","date_string","day_of_week","month","year","state"
"1764-07-26","Greencastle, Pennsylvania","10","2","<a href='https://en.wikipedia.org/wiki/Enoch_Brown_school_massacre' title='Enoch Brown school massacre'>Enoch Brown school massacre</a>: Perhaps the earliest shooting to happen on school or college property, in what would become the <a href='https://en.wikipedia.org/wiki/United_States' title='United States'>United States</a>, was the notorious Enoch Brown school massacre during the <a href='https://en.wikipedia.org/wiki/Pontiac%27s_War' title='Pontiac's War'>Pontiac's War</a>. Four Delaware (Lenape) American Indians entered the schoolhouse near present-day <a href='https://en.wikipedia.org/wiki/Greencastle,_Pennsylvania' title='Greencastle, Pennsylvania'>Greencastle</a>, Pennsylvania, and shot and killed schoolmaster Enoch Brown and nine children (reports vary). Only two children survived. However, this incident may only incidentally be considered a school 'shooting' because only the teacher was shot, while the other nine victims were killed with <a href='https://en.wikipedia.org/wiki/Melee_weapons' class='mw-redirect' title='Melee weapons'>melee weapons</a>. <sup id='cite_ref-FOOTNOTEMiddleton2007171_1-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEMiddleton2007171-1'>[1]</a></sup><sup id='cite_ref-FOOTNOTEDixon2005223_2-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEDixon2005223-2'>[2]</a></sup>","July 26, 1764","Thursday","July","1764","Pennsylvania"
"1840-11-12","Charlottesville, Virginia","1","0","John Anthony Gardner Davis, a law professor at the <a href='https://en.wikipedia.org/wiki/University_of_Virginia' title='University of Virginia'>University of Virginia</a>, was shot by student Joseph Semmes, and died from his wound three days later.<sup id='cite_ref-3' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-3'>[3]</a></sup><sup id='cite_ref-4' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-4'>[4]</a></sup>","November 12, 1840","Thursday","November","1840","Virginia"
"1853-11-02","Louisville, Kentucky","0","1","Student Matthew Ward took a pistol to school, where he shot the schoolmaster Mr. Butler as revenge for what Ward thought was excessive punishment of his brother the day before. Ward was acquitted.<sup id='cite_ref-5' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-5'>[5]</a></sup>","November 2, 1853","Wednesday","November","1853","Kentucky"
"1856-08-16","Florence, Alabama","2","0","The schoolmaster had a tame sparrow and had warned the students not to harm it, threatening death. One of the boys stepped on the bird and killed it; he was afraid to return to school but did so. After lessons, the master took the boy into a private room and strangled him to death. The boy's father went to the school and shot the schoolmaster dead.<sup id='cite_ref-6' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-6'>[6]</a></sup>","August 16, 1856","Saturday","August","1856","Alabama"
"1858-07-08","Baltimore, Maryland","1","0","The 15-year-old son of Col. John T. Farlow (Baltimore's Marshal of Police 1867–70), was killed during a <a href='https://en.wikipedia.org/wiki/Sunday_school' title='Sunday school'>Sabbath School</a> gathering. The perpetrator escaped, but several arrests were made.<sup id='cite_ref-7' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-7'>[7]</a></sup>","July 8, 1858","Thursday","July","1858","Maryland"
"1860-01-21","Todd County, Kentucky","1","0","A son of Col. Elijah Sebree was killed by another student. Young Sebree was threatening the other boy and said he intended to kill him. The other student got a gun and walked up to Sebree in the schoolhouse, where he killed him.<sup id='cite_ref-8' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-8'>[8]</a></sup>","January 21, 1860","Saturday","January","1860","Kentucky"
"1864-02-06","Ashland County, Ohio","1","0","George W. Longfelt, the school teacher of the Pyfer's School House, killed student Alfred Desem and fled.<sup id='cite_ref-9' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-9'>[9]</a></sup>","February 6, 1864","Saturday","February","1864","Ohio"
"1867-02-16","Knights Ferry, California","2","0","Mr. McGinnis was killed by his daughter's teacher after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.<sup id='cite_ref-10' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-10'>[10]</a></sup>","February 16, 1867","Saturday","February","1867","California"
"1867-04-02","Madison, Florida","1","0","Frank Pope, a pupil at the St. John's seminary, killed his teacher Mr. Bristow with a pistol.<sup id='cite_ref-11' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-11'>[11]</a></sup>","April 2, 1867","Tuesday","April","1867","Florida"
"1867-06-08","New York City, New York","0","1","13-year-old Arthur Day, secretly took a loaded pistol to Public School No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally injured classmate Robert Morton.<sup id='cite_ref-12' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-12'>[12]</a></sup>","June 8, 1867","Saturday","June","1867","New York"
