state,homicide.rate
Alabama,8.4
Alaska,7
Arizona,5.5
Arkansas,7.2
California,4.9
Colorado,3.7
Connecticut,2.2
Delaware,5.9
Florida,5.4
Georgia,6.6
Hawaii,2.5
Idaho,2.9
Illinois,8.2
Indiana,6.6
Iowa,2.3
Kansas,3.8
Kentucky,5.9
Louisiana,11.8
Maine,1.5
Maryland,8
Massachusetts,2
Michigan,6
Minnesota,1.8
Mississippi,8
Missouri,8.8
Montana,3.5
Nebraska,2.6
Nevada,7.6
New Hampshire,1.3
New Jersey,4.2
New Mexico,6.7
New York,3.2
North Carolina,6.7
North Dakota,2
Ohio,5.6
Oklahoma,6.2
Oregon,2.8
Pennsylvania,5.2
Rhode Island,2.7
South Carolina,7.4
South Dakota,3.1
Tennessee,7.3
Texas,5.3
Utah,2.4
Vermont,2.2
Virginia,5.8
Washington,2.7
West Virginia,4.4
Wisconsin,4
Wyoming,3.4
